Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance
28/01/2020,DD,11-22-33,1122334,American Express,200.00,,1499.00
25/01/2020,FPI,11-22-33,1122334,Tesco,58.00,,1699.00
22/01/2020,FPI,11-22-33,1122334,Sainsburies,20.00,,1757.00
21/01/2020,FPI,11-22-33,1122334,John Doe,,50.00,1777.00
19/01/2020,FPI,11-22-33,1122334,Wetherspoons,10.00,,1727.00
16/01/2020,FPI,11-22-33,1122334,Waitrose,25.00,,1737.00
15/01/2020,FPI,11-22-33,1122334,Sarah Doe,,10.00,1762.00
11/01/2020,FPI,11-22-33,1122334,McDonalds,8.00,,1752.00
10/01/2020,FPI,11-22-33,1122334,M&S,10.00,,1760.00
06/01/2020,FPI,11-22-33,1122334,BarclayCard,300.00,,1770.00
03/01/2020,FPI,11-22-33,1122334,John Doe,,70.00,2070.00
01/01/2020,FPI,11-22-33,1122334,Sainsburies,10.00,,2000.00
