Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance
26/01/2020,DD,11-22-33,1122334,M&S,15.00,,1159.00
25/01/2020,FPI,11-22-33,1122334,M&S,18.00,,1174.00
24/01/2020,FPI,11-22-33,1122334,M&S,10.00,,1192.00
22/01/2020,FPI,11-22-33,1122334,Waitrose,50.00,,1202.00
18/01/2020,FPI,11-22-33,1122334,Amazon Refund,,40.00,1252.00
17/01/2020,FPI,11-22-33,1122334,Amazon,40.00,,1212.00
16/01/2020,FPI,11-22-33,1122334,Credit from Stephan,,400.00,1252.00
11/01/2020,FPI,11-22-33,1122334,McDonalds,8.00,,852.00
11/01/2020,FPI,11-22-33,1122334,Hare and Hounds,20.00,,860.00
10/01/2020,FPI,11-22-33,1122334,Hare and Hounds,15.00,,880.00
08/01/2020,FPI,11-22-33,1122334,Waitrose,10.00,,895.00
07/01/2020,FPI,11-22-33,1122334,Amazon,65.00,,905.00
04/01/2020,FPI,11-22-33,1122334,ASOS,30.00,,970.00
01/01/2020,FPI,11-22-33,1122334,Sainsburies,10.00,,1000.00
